"","Customer_ID","Credit_Amount","Purpose_Credit_Taken","Duration_in_Months","Status_Checking_Accnt","Credit_History","Job_Status","Years_At_Present_Employment","Marital_Status_Gender","Other_Debtors_Guarantors","Current_Address_Yrs","Age","Housing","Num_Credits","Num_Dependents","Foreign_Worker","Default_On_Payment","Dummy_Job_Status_A171","Dummy_Job_Status_A172","Dummy_Job_Status_A173","Dummy_Purpose_Credit_Taken_Low","Dummy_Purpose_Credit_Taken_High","Dummy_Status_Checking_Accnt_High","Dummy_Status_Checking_Accnt_Medium","Dummy_Credit_History_High","Dummy_Credit_History_Low","Dummy_Years_At_Present_Employment_High","Dummy_Years_At_Present_Employment_Medium","Dummy_Marital_Status_Gender","Dummy_Other_Debtors_Guarantors","Dummy_Housing","Dummy_Foreign_Worker","Dummy_Age_Group","Dummy_Credit_Amount","Dummy_Current_Address_Yrs","Predicted_Probability"
"4775","C19775",2212,"P42",20,"S11","A32","A173","E74","A93","A101",4,39,"A152",1,1,"A201",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0.473516127421498
"2262","C17262",1898,"P43",6,"S14","A34","A172","E73","A93","A101",2,34,"A152",2,2,"A201",0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0.0277060504612933
"3380","C18380",3872,"P45",18,"S12","A32","A173","E71","A92","A101",4,67,"A152",1,1,"A201",0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0.51285692496571
"2856","C17856",2149,"P43",12,"S11","A31","A173","E73","A91","A101",1,29,"A153",1,1,"A201",1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0.570103888408169
"514","C15514",6742,"P43",30,"S14","A34","A173","E74","A93","A101",3,36,"A152",2,1,"A201",0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0.0595753570931899
"4486","C19486",797,"P43",12,"S14","A34","A172","E75","A92","A101",3,33,"A152",1,2,"A201",1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0.0455978313401185
"1227","C16227",1505,"P43",18,"S14","A32","A174","E73","A93","A101",2,32,"A153",1,1,"A201",0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0.105061305528015
"210","C15210",4463,"P43",36,"S14","A33","A174","E73","A93","A101",2,26,"A152",2,1,"A201",1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0.131617683018143
"1634","C16634",9055,"P46",36,"S14","A32","A172","E73","A93","A101",4,35,"A153",1,2,"A201",0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0.279891326240207
"4755","C19755",763,"P42",12,"S14","A32","A173","E73","A92","A101",1,26,"A152",1,1,"A201",0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0.105139311087016
"4430","C19430",1352,"P41",6,"S11","A32","A171","E71","A92","A101",2,23,"A151",1,1,"A201",0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0.476505498156119
"3450","C18450",2063,"P43",6,"S12","A32","A174","E72","A94","A101",3,30,"A151",1,1,"A201",0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0.285082825375905
"3189","C18189",1881,"P43",12,"S13","A32","A172","E73","A92","A101",2,44,"A151",1,1,"A201",0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0.116614534125329
"4949","C19949",2442,"P49",27,"S11","A34","A174","E75","A93","A101",4,43,"A152",4,2,"A201",0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0.366875074227521
"3263","C18263",3617,"P42",12,"S12","A34","A173","E75","A93","A101",4,28,"A151",3,1,"A201",0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0.22978088087814
"3525","C18525",2235,"P40",20,"S11","A34","A173","E73","A94","A103",2,33,"A151",2,1,"A202",1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0.0951959634513573
"2707","C17707",338,"P43",6,"S11","A34","A173","E75","A93","A101",4,52,"A152",2,1,"A201",0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0.136729738227268
"2955","C17955",1659,"P43",24,"S11","A33","A172","E72","A92","A101",2,29,"A151",1,1,"A201",1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0.623666751802708
"5000","C20000",2142,"P49",11,"S14","A32","A173","E75","A91","A101",2,28,"A152",1,1,"A201",0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0.141381616894064
"732","C15732",368,"P43",6,"S12","A32","A173","E75","A93","A101",4,38,"A152",1,1,"A201",0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0.157310239691742
"4787","C19787",1391,"P49",9,"S12","A32","A173","E73","A94","A101",1,27,"A152",1,1,"A201",0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0.205657853247889
"4484","C19484",2225,"P40",36,"S12","A33","A173","E75","A93","A101",4,57,"A153",2,1,"A201",1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0.565127458883794
"3432","C18432",6350,"P42",30,"S11","A32","A173","E75","A93","A101",4,31,"A152",1,1,"A201",1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0.556469973828527
"3952","C18952",1473,"P43",18,"S14","A32","A173","E72","A94","A101",4,39,"A152",1,1,"A201",0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0.111983879106501
"123","C15123",2743,"P43",28,"S14","A34","A173","E75","A93","A101",2,29,"A152",2,1,"A201",0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0.0559528895224646
"2373","C17373",1493,"P43",12,"S14","A32","A173","E72","A92","A101",3,34,"A152",1,2,"A201",0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0.124192718555936
"3765","C18765",860,"P40",6,"S11","A34","A173","E75","A92","A101",4,39,"A152",2,1,"A201",0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0.283402416511265
"1075","C16075",1391,"P49",9,"S12","A32","A173","E73","A94","A101",1,27,"A152",1,1,"A201",0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0.205657853247889
"1579","C16579",3931,"P40",48,"S11","A32","A173","E74","A93","A101",4,46,"A153",1,2,"A201",1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0.763098741713177
"1150","C16150",5234,"P40",30,"S12","A34","A174","E71","A94","A101",2,28,"A152",2,1,"A201",1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0.36847043331136
"709","C15709",2528,"P49",27,"S12","A32","A173","E72","A92","A101",1,32,"A152",1,2,"A201",0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0.495056413889214
"2056","C17056",802,"P40",14,"S14","A33","A172","E73","A93","A101",2,27,"A152",2,1,"A201",0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0.117010461661472
"2052","C17052",1382,"P43",6,"S14","A34","A173","E73","A92","A101",1,28,"A152",2,1,"A201",0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0.026294152614619
"1829","C16829",2930,"P43",12,"S12","A32","A173","E74","A92","A101",1,27,"A152",1,1,"A201",0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0.17764210463751
"756","C15756",6836,"P49",60,"S11","A33","A173","E75","A93","A101",4,63,"A152",2,1,"A201",1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0.773029126604782
"688","C15688",2337,"P43",36,"S12","A34","A173","E75","A93","A101",4,36,"A152",1,1,"A201",0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0.205484646234441
"1155","C16155",392,"P46",15,"S13","A32","A173","E72","A92","A101",4,23,"A151",1,1,"A201",0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0.286648649448037
"2308","C17308",2145,"P49",36,"S11","A33","A173","E74","A93","A101",1,24,"A152",2,1,"A201",1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0.513938625548174
"1318","C16318",3394,"P45",42,"S11","A34","A171","E71","A93","A102",4,65,"A152",2,1,"A201",0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0.591207994178566
"4248","C19248",759,"P40",12,"S11","A32","A173","E74","A93","A101",2,26,"A152",1,1,"A201",1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0.407975552284858
"227","C15227",5381,"P50",48,"S12","A32","A171","E71","A93","A101",4,40,"A153",1,1,"A201",0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0.745876820508206
"2189","C17189",3124,"P40",12,"S12","A34","A172","E72","A93","A101",3,49,"A152",2,2,"A201",0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0.242692774161895
"3954","C18954",3868,"P41",24,"S14","A34","A174","E75","A92","A101",2,41,"A151",2,1,"A201",0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0.091283912057028
"604","C15604",2659,"P42",18,"S11","A32","A173","E73","A93","A101",2,28,"A152",1,1,"A201",0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0.456954021341531
"2775","C17775",1164,"P50",8,"S11","A34","A174","E75","A93","A101",4,51,"A153",2,2,"A201",0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0.302712332901722
"1022","C16022",1538,"P46",6,"S14","A32","A173","E72","A92","A101",2,56,"A152",1,1,"A201",0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0.174362559758996
"631","C15631",1107,"P43",12,"S11","A32","A174","E73","A93","A101",2,20,"A151",1,2,"A201",0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0.348269432476528
"3724","C18724",3123,"P40",24,"S11","A32","A173","E72","A92","A101",1,27,"A152",1,1,"A201",1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0.595956961148823
"4424","C19424",6887,"P46",36,"S11","A33","A173","E73","A93","A101",3,29,"A152",1,1,"A201",1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0.605056033985848
"1851","C16851",6614,"P40",36,"S14","A34","A174","E75","A93","A101",4,34,"A152",2,1,"A201",0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0.123322319923173
"3286","C18286",4623,"P46",15,"S14","A32","A174","E73","A93","A101",2,40,"A152",1,1,"A201",1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0.120493858525528
"469","C15469",3349,"P42",24,"S11","A31","A173","E72","A93","A101",4,30,"A153",1,2,"A201",1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0.851800807059192
"1897","C16897",3074,"P43",9,"S14","A34","A173","E73","A93","A101",2,33,"A152",2,2,"A201",0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0.0305269544339886
"1355","C16355",1344,"P40",12,"S11","A33","A172","E73","A93","A101",2,43,"A152",2,2,"A201",0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0.407975552284858
"4022","C19022",1225,"P44",10,"S13","A32","A173","E73","A93","A101",2,37,"A152",1,1,"A201",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0.103939123006833
"2214","C17214",1138,"P43",9,"S11","A34","A172","E73","A93","A101",4,25,"A152",2,1,"A201",0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0.148950429754358
"3997","C18997",5954,"P43",30,"S14","A34","A173","E74","A93","A102",2,38,"A152",1,1,"A201",0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0.0595753570931899
"4008","C19008",2670,"P41",24,"S14","A32","A174","E75","A93","A101",4,35,"A152",1,1,"A201",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0922732073318229
"3918","C18918",3092,"P43",24,"S12","A32","A173","E72","A94","A101",2,22,"A151",1,1,"A201",1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0.420627359939678
"2169","C17169",10366,"P40",60,"S14","A32","A174","E75","A93","A101",4,42,"A152",1,1,"A201",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0.379942854579326
"3720","C18720",1164,"P50",8,"S11","A34","A174","E75","A93","A101",4,51,"A153",2,2,"A201",0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0.302712332901722
"3102","C18102",1311,"P43",24,"S14","A32","A173","E74","A94","A101",3,26,"A152",1,1,"A201",0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0.0922732073318229
"3500","C18500",3590,"P49",18,"S12","A34","A171","E71","A94","A101",3,40,"A152",3,2,"A201",0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0.281255341622145
"4","C15004",2675,"P43",22,"S14","A32","A173","E75","A93","A101",4,40,"A152",1,1,"A201",0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0868461582175457
"2342","C17342",2288,"P42",21,"S14","A34","A173","E72","A92","A101",4,23,"A152",1,1,"A201",0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0.15080200462989
"1085","C16085",1037,"P49",12,"S12","A32","A172","E74","A93","A101",4,39,"A152",1,1,"A201",0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0.293047773292849
"1871","C16871",976,"P43",12,"S14","A34","A173","E75","A93","A101",4,35,"A152",2,1,"A201",0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0.0336251372854894
"3017","C18017",3357,"P43",21,"S11","A32","A173","E72","A92","A101",2,29,"A152",1,1,"A201",0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0.515387260312424
"1732","C16732",3966,"P40",18,"S11","A34","A173","E75","A92","A101",4,33,"A151",3,1,"A201",1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0.454010420223655
"547","C15547",1922,"P42",12,"S12","A32","A172","E73","A93","A101",2,37,"A152",1,1,"A201",1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0.293047773292849
"1199","C16199",4473,"P43",36,"S13","A32","A173","E75","A93","A101",2,31,"A152",1,1,"A201",0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.131617683018143
"3287","C18287",1101,"P40",12,"S14","A32","A173","E73","A94","A101",2,27,"A152",2,1,"A201",0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0.110305290232065
"2054","C17054",1221,"P42",6,"S14","A34","A173","E73","A94","A101",2,27,"A152",2,1,"A201",0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0.0492666945196244
"3876","C18876",2039,"P42",18,"S11","A32","A173","E73","A92","A101",4,20,"A151",1,1,"A201",1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0.6196704294713
"506","C15506",3577,"P40",9,"S14","A32","A173","E73","A93","A103",2,26,"A151",1,2,"A202",0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0.0250720962432785
"2138","C17138",2439,"P43",24,"S11","A32","A173","E72","A92","A101",4,35,"A152",1,1,"A201",1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0.540270884367945
"4841","C19841",1082,"P43",9,"S12","A32","A172","E75","A93","A101",4,27,"A152",2,1,"A201",0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0.171006005462675
"4388","C19388",2760,"P41",24,"S12","A32","A173","E75","A93","A101",4,36,"A153",1,1,"A201",0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0.32399274908175
"4355","C19355",1979,"P43",15,"S14","A32","A173","E75","A93","A101",2,35,"A152",1,1,"A201",0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.070058972687681
"860","C15860",609,"P40",6,"S11","A34","A173","E74","A92","A101",3,37,"A152",2,1,"A202",0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0.103303181662644
"642","C15642",1258,"P42",12,"S14","A34","A172","E72","A92","A101",4,22,"A151",2,1,"A201",0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0.156538680383193
"3207","C18207",1231,"P40",10,"S14","A34","A172","E75","A93","A101",4,32,"A152",2,2,"A202",0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0.016952612375923
"1686","C16686",3595,"P43",36,"S14","A32","A173","E75","A93","A101",2,28,"A152",1,1,"A201",0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0.131617683018143
"3223","C18223",3552,"P42",24,"S11","A31","A173","E74","A93","A101",4,27,"A152",1,1,"A201",1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0.729049091111075
"1572","C16572",11938,"P50",24,"S12","A34","A174","E73","A93","A102",3,39,"A152",2,2,"A201",1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0.239796071390021
"921","C15921",4110,"P42",24,"S11","A30","A173","E75","A93","A101",4,23,"A151",2,2,"A201",1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0.791420855800797
"3837","C18837",727,"P43",12,"S11","A32","A172","E72","A94","A101",3,33,"A152",1,1,"A201",1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0.364686934644501
"459","C15459",1520,"P42",15,"S14","A34","A173","E75","A93","A101",4,63,"A152",1,1,"A201",0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0.0653514403173541
"2289","C17289",3368,"P41",15,"S14","A34","A173","E75","A93","A101",4,23,"A151",2,1,"A201",0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0.0514313989216324
"2507","C17507",3780,"P42",18,"S14","A34","A174","E72","A91","A101",2,35,"A152",2,1,"A201",0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0.138454114162756
"2940","C17940",6143,"P41",48,"S11","A34","A172","E75","A92","A101",4,58,"A153",2,1,"A201",1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0.55382698175467
"1631","C16631",2197,"P41",24,"S14","A34","A173","E74","A93","A101",4,43,"A152",2,2,"A201",0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0.0493213537580633
"2394","C17394",3915,"P49",27,"S12","A32","A173","E73","A93","A101",2,36,"A152",1,2,"A201",1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0.405812477711021
"4675","C19675",518,"P43",6,"S14","A32","A173","E73","A92","A101",1,29,"A152",1,1,"A201",0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0.050252620974187
"2365","C17365",960,"P42",15,"S14","A33","A173","E74","A92","A101",2,30,"A152",2,1,"A201",0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0.158329693193709
"4359","C19359",5324,"P40",15,"S14","A32","A173","E75","A92","A101",4,35,"A153",1,1,"A201",0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0.209655877134545
"4476","C19476",907,"P49",8,"S12","A32","A173","E72","A94","A101",2,26,"A152",1,1,"A201",0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0.354687789858481
"2979","C17979",14027,"P40",60,"S12","A32","A174","E74","A93","A101",2,27,"A152",1,1,"A201",1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0.671991961229026
"2010","C17010",6872,"P42",24,"S11","A31","A173","E72","A91","A101",1,55,"A152",1,1,"A201",1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0.794347343390925
"720","C15720",701,"P46",12,"S14","A34","A173","E73","A93","A101",2,32,"A152",2,1,"A201",0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0.059510045437248
"4574","C19574",1409,"P43",13,"S14","A32","A173","E71","A92","A101",4,64,"A152",1,1,"A201",0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0.127858969936445
"1473","C16473",2273,"P46",36,"S12","A32","A173","E74","A93","A101",1,32,"A152",2,2,"A201",0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.388762299723953
"297","C15297",1766,"P42",6,"S14","A32","A173","E73","A94","A101",2,21,"A151",1,1,"A201",0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0.125247627356048
"4632","C19632",1358,"P50",24,"S11","A31","A174","E75","A93","A101",3,40,"A152",1,1,"A201",1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0.729049091111075
"3521","C18521",10477,"P41",36,"S14","A34","A173","E75","A93","A101",4,42,"A153",2,1,"A201",0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0.0983537017337522
"696","C15696",3029,"P41",15,"S14","A32","A173","E74","A93","A101",2,33,"A152",1,1,"A201",0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.070058972687681
"2683","C17683",1413,"P43",24,"S14","A32","A173","E73","A94","A101",2,28,"A152",1,1,"A201",0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0.0922732073318229
"4659","C19659",1471,"P43",15,"S14","A34","A173","E73","A93","A101",4,35,"A153",2,1,"A201",0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0.0514313989216324
"2859","C17859",5507,"P45",24,"S14","A34","A173","E75","A93","A101",4,44,"A153",2,1,"A201",0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0.117420330026183
"1975","C16975",3448,"P49",5,"S14","A32","A172","E74","A93","A101",4,74,"A152",1,1,"A201",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0894275879516622
"3162","C18162",5801,"P42",12,"S14","A34","A173","E75","A93","A101",4,49,"A151",1,1,"A201",0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0.0819195068759499
"1561","C16561",6836,"P49",60,"S11","A33","A173","E75","A93","A101",4,63,"A152",2,1,"A201",1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0.773029126604782
"1502","C16502",4439,"P49",18,"S12","A32","A174","E75","A93","A102",1,33,"A152",1,1,"A201",0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.258897596872192
"1072","C16072",1393,"P40",11,"S14","A34","A174","E72","A92","A101",4,35,"A152",2,1,"A201",0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0.112924858969167
"1802","C16802",1478,"P42",15,"S11","A34","A173","E75","A93","A101",4,44,"A152",2,2,"A201",0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0.279870251845495
"4799","C19799",1175,"P40",16,"S12","A34","A171","E71","A93","A101",3,68,"A153",3,1,"A201",0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0.340489907131043
"752","C15752",11816,"P49",45,"S11","A30","A173","E75","A93","A101",4,29,"A151",2,1,"A201",1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0.884173962686959
"444","C15444",2406,"P42",9,"S14","A34","A174","E71","A93","A101",3,31,"A152",1,1,"A201",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0.079816970072083
"692","C15692",1101,"P40",12,"S14","A32","A173","E73","A94","A101",2,27,"A152",2,1,"A201",0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0.110305290232065
"3362","C18362",6468,"P43",12,"S12","A32","A174","E71","A93","A101",1,52,"A152",1,1,"A201",1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0.192449219834364
"3016","C18016",4463,"P43",36,"S14","A33","A174","E73","A93","A101",2,26,"A152",2,1,"A201",1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0.131617683018143
"4341","C19341",1236,"P41",6,"S14","A32","A173","E73","A93","A101",4,50,"A151",1,1,"A201",0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0.0729880922234015
"3277","C18277",343,"P44",6,"S11","A32","A173","E72","A92","A101",1,27,"A152",1,1,"A201",0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0.447558239585575
